Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
0.001;120;21.6;141;9.86E-06;3.26E-06;0.3304
0.0015;147;18.4;165;1.31E-05;4.93E-06;0.376
0.002;169;16.1;186;1.6E-05;6.58E-06;0.4123
0.0025;189;14.5;204;1.85E-05;8.19E-06;0.4421
0.003;207;13.1;221;2.09E-05;9.76E-06;0.4674
0.004;240;11.2;251;2.51E-05;1.28E-05;0.5084
0.005;268;9.83;278;2.89E-05;1.56E-05;0.5406
0.006;293;8.79;302;3.24E-05;1.83E-05;0.5669
0.007;317;7.97;325;3.56E-05;2.09E-05;0.5889
0.008;339;7.31;346;3.85E-05;2.34E-05;0.6078
0.009;359;6.76;366;4.13E-05;2.58E-05;0.6242
0.01;379;6.3;385;4.4E-05;2.81E-05;0.6387
0.0125;417;5.4;422;5.02E-05;3.36E-05;0.6686
0.015;450;4.75;455;5.59E-05;3.87E-05;0.6923
0.0175;480;4.25;484;6.12E-05;4.36E-05;0.7118
0.02;507;3.86;511;6.62E-05;4.82E-05;0.7281
0.0225;531;3.54;534;7.1E-05;5.27E-05;0.742
0.025;553;3.27;556;7.56E-05;5.7E-05;0.7542
0.0275;572;3.04;576;8E-05;6.12E-05;0.7648
0.03;591;2.85;593;8.43E-05;6.53E-05;0.7743
0.035;622;2.53;625;9.25E-05;7.31E-05;0.7906
0.04;648;2.28;651;0.0001;8.07E-05;0.8041
0.045;670;2.08;672;0.000108;8.8E-05;0.8156
0.05;688;1.92;690;0.000115;9.51E-05;0.8256
0.055;702;1.78;704;0.000122;0.000102;0.8343
0.06;713;1.66;715;0.00013;0.000109;0.842
0.065;722;1.56;723;0.000136;0.000116;0.849
0.07;728;1.47;729;0.000143;0.000123;0.8553
0.075;732;1.39;733;0.00015;0.000129;0.8611
0.08;734;1.32;736;0.000157;0.000136;0.8664
0.085;735;1.25;736;0.000164;0.000143;0.8712
0.09;734;1.2;735;0.000171;0.000149;0.8758
0.095;732;1.15;733;0.000177;0.000156;0.88
0.1;729;1.1;730;0.000184;0.000163;0.8839
0.125;703;0.914;704;0.000219;0.000197;0.9005
0.15;667;0.786;668;0.000255;0.000233;0.9133
0.175;629;0.691;630;0.000294;0.000272;0.9236
0.2;592;0.618;593;0.000335;0.000312;0.932
0.225;558;0.56;559;0.000378;0.000355;0.939
0.25;528;0.512;528;0.000424;0.000401;0.945
0.275;501;0.473;501;0.000473;0.000449;0.95
0.3;476;0.439;477;0.000524;0.0005;0.9544
0.35;435;0.385;435;0.000634;0.00061;0.9614
0.4;401;0.344;402;0.000754;0.000729;0.9668
0.45;373;0.311;374;0.000883;0.000857;0.971
0.5;350;0.284;350;0.00102;0.000995;0.9743
