Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.00E-03;9.24E+01;1.20E+01;1.04E+02;1.47E-05;3.76E-06;0.2555
1.50E-03;1.13E+02;1.07E+01;1.24E+02;1.91E-05;5.59E-06;0.2933
2.00E-03;1.31E+02;9.75E+00;1.40E+02;2.29E-05;7.41E-06;0.3245
2.50E-03;1.46E+02;8.97E+00;1.55E+02;2.62E-05;9.21E-06;0.3509
3.00E-03;1.60E+02;8.32E+00;1.68E+02;2.93E-05;1.10E-05;0.3738
4.00E-03;1.85E+02;7.32E+00;1.92E+02;3.49E-05;1.44E-05;0.4122
5.00E-03;2.07E+02;6.57E+00;2.13E+02;3.98E-05;1.77E-05;0.4434
6.00E-03;2.26E+02;5.98E+00;2.32E+02;4.43E-05;2.08E-05;0.4696
7.00E-03;2.44E+02;5.51E+00;2.50E+02;4.85E-05;2.38E-05;0.4921
8.00E-03;2.61E+02;5.11E+00;2.66E+02;5.23E-05;2.68E-05;0.5117
9.00E-03;2.77E+02;4.78E+00;2.82E+02;5.60E-05;2.96E-05;0.5291
1.00E-02;2.92E+02;4.49E+00;2.97E+02;5.94E-05;3.24E-05;0.5445
1.25E-02;3.21E+02;3.92E+00;3.25E+02;6.75E-05;3.90E-05;0.5773
1.50E-02;3.45E+02;3.49E+00;3.48E+02;7.49E-05;4.52E-05;0.604
1.75E-02;3.66E+02;3.16E+00;3.69E+02;8.19E-05;5.13E-05;0.6263
2.00E-02;3.84E+02;2.89E+00;3.87E+02;8.85E-05;5.71E-05;0.6454
2.25E-02;4.00E+02;2.67E+00;4.02E+02;9.48E-05;6.28E-05;0.662
2.50E-02;4.13E+02;2.48E+00;4.16E+02;1.01E-04;6.83E-05;0.6767
2.75E-02;4.25E+02;2.32E+00;4.27E+02;1.07E-04;7.37E-05;0.6898
3.00E-02;4.35E+02;2.18E+00;4.37E+02;1.13E-04;7.90E-05;0.7015
3.50E-02;4.51E+02;1.96E+00;4.53E+02;1.24E-04;8.94E-05;0.722
4.00E-02;4.62E+02;1.77E+00;4.64E+02;1.35E-04;9.96E-05;0.7394
4.50E-02;4.69E+02;1.63E+00;4.71E+02;1.46E-04;1.10E-04;0.7544
5.00E-02;4.73E+02;1.50E+00;4.75E+02;1.56E-04;1.20E-04;0.7676
5.50E-02;4.75E+02;1.40E+00;4.77E+02;1.67E-04;1.30E-04;0.7793
6.00E-02;4.75E+02;1.31E+00;4.76E+02;1.77E-04;1.40E-04;0.7898
6.50E-02;4.74E+02;1.23E+00;4.75E+02;1.88E-04;1.50E-04;0.7994
7.00E-02;4.71E+02;1.17E+00;4.72E+02;1.98E-04;1.60E-04;0.8081
7.50E-02;4.68E+02;1.11E+00;4.69E+02;2.09E-04;1.70E-04;0.8161
8.00E-02;4.64E+02;1.05E+00;4.65E+02;2.19E-04;1.81E-04;0.8234
8.50E-02;4.60E+02;1.00E+00;4.61E+02;2.30E-04;1.91E-04;0.8302
9.00E-02;4.56E+02;9.60E-01;4.57E+02;2.41E-04;2.02E-04;0.8366
9.50E-02;4.51E+02;9.20E-01;4.52E+02;2.52E-04;2.12E-04;0.8425
1.00E-01;4.47E+02;8.84E-01;4.48E+02;2.63E-04;2.23E-04;0.848
1.25E-01;4.25E+02;7.41E-01;4.25E+02;3.21E-04;2.79E-04;0.8708
1.50E-01;4.05E+02;6.40E-01;4.05E+02;3.81E-04;3.38E-04;0.888
1.75E-01;3.87E+02;5.65E-01;3.87E+02;4.44E-04;4.00E-04;0.9013
2.00E-01;3.71E+02;5.07E-01;3.72E+02;5.10E-04;4.65E-04;0.9119
2.25E-01;3.57E+02;4.60E-01;3.57E+02;5.79E-04;5.33E-04;0.9205
2.50E-01;3.44E+02;4.22E-01;3.44E+02;6.50E-04;6.03E-04;0.9277
2.75E-01;3.32E+02;3.90E-01;3.33E+02;7.24E-04;6.76E-04;0.9337
3.00E-01;3.22E+02;3.63E-01;3.22E+02;8.00E-04;7.51E-04;0.9389
3.50E-01;3.02E+02;3.20E-01;3.02E+02;9.61E-04;9.10E-04;0.9471
4.00E-01;2.84E+02;2.86E-01;2.84E+02;1.13E-03;1.08E-03;0.9535
4.50E-01;2.69E+02;2.59E-01;2.69E+02;1.31E-03;1.26E-03;0.9585
5.00E-01;2.55E+02;2.37E-01;2.55E+02;1.50E-03;1.45E-03;0.9626
5.50E-01;2.43E+02;2.19E-01;2.43E+02;1.70E-03;1.65E-03;0.9659
6.00E-01;2.31E+02;2.03E-01;2.32E+02;1.92E-03;1.86E-03;0.9687
6.50E-01;2.22E+02;1.90E-01;2.22E+02;2.14E-03;2.07E-03;0.9711
7.00E-01;2.12E+02;1.78E-01;2.13E+02;2.37E-03;2.30E-03;0.9731
7.50E-01;2.04E+02;1.68E-01;2.04E+02;2.61E-03;2.54E-03;0.9749
8.00E-01;1.97E+02;1.59E-01;1.97E+02;2.86E-03;2.79E-03;0.9764
8.50E-01;1.90E+02;1.51E-01;1.90E+02;3.11E-03;3.05E-03;0.9778
9.00E-01;1.83E+02;1.44E-01;1.84E+02;3.38E-03;3.31E-03;0.979
9.50E-01;1.77E+02;1.37E-01;1.78E+02;3.66E-03;3.59E-03;0.98
1.00E+00;1.72E+02;1.31E-01;1.72E+02;3.95E-03;3.87E-03;0.981
1.25E+00;1.49E+02;1.08E-01;1.50E+02;5.51E-03;5.42E-03;0.9845
1.50E+00;1.33E+02;9.23E-02;1.33E+02;7.29E-03;7.19E-03;0.9868
1.75E+00;1.20E+02;8.07E-02;1.20E+02;9.27E-03;9.16E-03;0.9884
2.00E+00;1.09E+02;7.17E-02;1.10E+02;1.15E-02;1.13E-02;0.9895
2.25E+00;1.01E+02;6.47E-02;1.01E+02;1.38E-02;1.37E-02;0.9904
2.50E+00;9.38E+01;5.89E-02;9.38E+01;1.64E-02;1.63E-02;0.9911
2.75E+00;8.77E+01;5.41E-02;8.78E+01;1.92E-02;1.90E-02;0.9916
3.00E+00;8.25E+01;5.01E-02;8.25E+01;2.21E-02;2.19E-02;0.9921
3.50E+00;7.38E+01;4.37E-02;7.39E+01;2.85E-02;2.83E-02;0.9928
4.00E+00;6.70E+01;3.88E-02;6.71E+01;3.56E-02;3.54E-02;0.9933
4.50E+00;6.15E+01;3.49E-02;6.15E+01;4.34E-02;4.32E-02;0.9937
5.00E+00;5.69E+01;3.17E-02;5.70E+01;5.19E-02;5.16E-02;0.994
5.50E+00;5.30E+01;2.91E-02;5.31E+01;6.10E-02;6.06E-02;0.9942
6.00E+00;4.97E+01;2.69E-02;4.97E+01;7.07E-02;7.03E-02;0.9944
6.50E+00;4.68E+01;2.51E-02;4.68E+01;8.11E-02;8.07E-02;0.9946
7.00E+00;4.43E+01;2.34E-02;4.43E+01;9.21E-02;9.16E-02;0.9948
7.50E+00;4.20E+01;2.20E-02;4.21E+01;1.04E-01;1.03E-01;0.9949
8.00E+00;4.00E+01;2.08E-02;4.00E+01;1.16E-01;1.15E-01;0.995
8.50E+00;3.82E+01;1.96E-02;3.82E+01;1.29E-01;1.28E-01;0.9951
9.00E+00;3.66E+01;1.86E-02;3.66E+01;1.42E-01;1.41E-01;0.9952
9.50E+00;3.51E+01;1.77E-02;3.51E+01;1.56E-01;1.55E-01;0.9953
1.00E+01;3.38E+01;1.69E-02;3.38E+01;1.71E-01;1.70E-01;0.9953
1.25E+01;2.84E+01;1.38E-02;2.84E+01;2.52E-01;2.50E-01;0.9956
1.50E+01;2.47E+01;1.17E-02;2.47E+01;3.46E-01;3.45E-01;0.9958
1.75E+01;2.19E+01;1.01E-02;2.19E+01;4.54E-01;4.52E-01;0.996
2.00E+01;1.97E+01;8.94E-03;1.97E+01;5.75E-01;5.73E-01;0.9961
2.50E+01;1.65E+01;7.27E-03;1.65E+01;8.53E-01;8.50E-01;0.9963
2.75E+01;1.53E+01;6.65E-03;1.53E+01;1.01E+00;1.01E+00;0.9963
3.00E+01;1.43E+01;6.13E-03;1.43E+01;1.18E+00;1.18E+00;0.9964
3.50E+01;1.27E+01;5.31E-03;1.27E+01;1.55E+00;1.55E+00;0.9965
4.00E+01;1.14E+01;4.68E-03;1.14E+01;1.97E+00;1.96E+00;0.9966
4.50E+01;1.04E+01;4.19E-03;1.04E+01;2.43E+00;2.42E+00;0.9966
5.00E+01;9.59E+00;3.80E-03;9.59E+00;2.93E+00;2.92E+00;0.9967
5.50E+01;8.91E+00;3.47E-03;8.91E+00;3.47E+00;3.46E+00;0.9968
6.00E+01;8.33E+00;3.20E-03;8.33E+00;4.05E+00;4.04E+00;0.9968
6.50E+01;7.84E+00;2.97E-03;7.84E+00;4.67E+00;4.65E+00;0.9968
7.00E+01;7.41E+00;2.77E-03;7.41E+00;5.33E+00;5.31E+00;0.9969
7.50E+01;7.03E+00;2.59E-03;7.03E+00;6.02E+00;6.00E+00;0.9969
8.00E+01;6.70E+00;2.44E-03;6.70E+00;6.75E+00;6.73E+00;0.997
8.50E+01;6.40E+00;2.30E-03;6.40E+00;7.51E+00;7.49E+00;0.997
9.00E+01;6.13E+00;2.18E-03;6.14E+00;8.31E+00;8.28E+00;0.997
9.50E+01;5.89E+00;2.07E-03;5.90E+00;9.14E+00;9.11E+00;0.997
1.00E+02;5.68E+00;1.98E-03;5.68E+00;1.00E+01;9.98E+00;0.9971
1.25E+02;4.84E+00;1.60E-03;4.84E+00;1.48E+01;1.48E+01;0.9972
1.50E+02;4.26E+00;1.35E-03;4.26E+00;2.03E+01;2.03E+01;0.9973
1.75E+02;3.84E+00;1.16E-03;3.84E+00;2.65E+01;2.64E+01;0.9973
2.00E+02;3.53E+00;1.03E-03;3.53E+00;3.33E+01;3.32E+01;0.9974
2.25E+02;3.28E+00;9.16E-04;3.28E+00;4.07E+01;4.06E+01;0.9975
2.50E+02;3.08E+00;8.29E-04;3.08E+00;4.86E+01;4.84E+01;0.9975
2.75E+02;2.91E+00;7.58E-04;2.91E+00;5.69E+01;5.68E+01;0.9976
3.00E+02;2.77E+00;6.98E-04;2.77E+00;6.57E+01;6.56E+01;0.9976
3.50E+02;2.56E+00;6.03E-04;2.56E+00;8.45E+01;8.43E+01;0.9977
4.00E+02;2.39E+00;5.31E-04;2.39E+00;1.05E+02;1.05E+02;0.9978
4.50E+02;2.27E+00;4.75E-04;2.27E+00;1.26E+02;1.26E+02;0.9979
5.00E+02;2.17E+00;4.30E-04;2.17E+00;1.49E+02;1.49E+02;0.9979
5.50E+02;2.09E+00;3.93E-04;2.09E+00;1.72E+02;1.72E+02;0.998
6.00E+02;2.02E+00;3.62E-04;2.02E+00;1.97E+02;1.96E+02;0.998
6.50E+02;1.96E+00;3.35E-04;1.97E+00;2.22E+02;2.21E+02;0.9981
7.00E+02;1.92E+00;3.13E-04;1.92E+00;2.48E+02;2.47E+02;0.9981
7.50E+02;1.88E+00;2.93E-04;1.88E+00;2.74E+02;2.74E+02;0.9982
8.00E+02;1.85E+00;2.76E-04;1.85E+00;3.01E+02;3.00E+02;0.9982
8.50E+02;1.82E+00;2.60E-04;1.82E+00;3.28E+02;3.28E+02;0.9982
9.00E+02;1.79E+00;2.47E-04;1.79E+00;3.56E+02;3.55E+02;0.9983
9.50E+02;1.77E+00;2.34E-04;1.77E+00;3.84E+02;3.83E+02;0.9983
1.00E+03;1.75E+00;2.23E-04;1.75E+00;4.12E+02;4.12E+02;0.9983
1.50E+03;1.65E+00;1.52E-04;1.65E+00;7.09E+02;7.08E+02;0.9986
2.00E+03;1.62E+00;1.16E-04;1.62E+00;1.02E+03;1.01E+03;0.9987
2.50E+03;1.61E+00;9.42E-05;1.61E+00;1.33E+03;1.32E+03;0.9989
3.00E+03;1.62E+00;7.94E-05;1.62E+00;1.64E+03;1.63E+03;0.999
4.00E+03;1.64E+00;6.06E-05;1.64E+00;2.25E+03;2.25E+03;0.9991
5.00E+03;1.67E+00;4.92E-05;1.67E+00;2.85E+03;2.85E+03;0.9992
6.00E+03;1.69E+00;4.15E-05;1.69E+00;3.45E+03;3.45E+03;0.9993
7.00E+03;1.71E+00;3.59E-05;1.71E+00;4.04E+03;4.03E+03;0.9993
8.00E+03;1.73E+00;3.17E-05;1.73E+00;4.62E+03;4.61E+03;0.9994
9.00E+03;1.75E+00;2.84E-05;1.75E+00;5.19E+03;5.19E+03;0.9994
1.00E+04;1.77E+00;2.57E-05;1.77E+00;5.76E+03;5.75E+03;0.9995
