Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.00E-03;3.49E+01;4.41E+00;3.93E+01;4.12E-05;5.62E-06;0.1365
1.50E-03;4.27E+01;4.23E+00;4.70E+01;5.27E-05;8.30E-06;0.1576
2.00E-03;4.94E+01;4.05E+00;5.34E+01;6.26E-05;1.10E-05;0.1759
2.50E-03;5.52E+01;3.88E+00;5.91E+01;7.15E-05;1.37E-05;0.1921
3.00E-03;6.05E+01;3.72E+00;6.42E+01;7.96E-05;1.65E-05;0.2068
4.00E-03;6.98E+01;3.44E+00;7.32E+01;9.42E-05;2.19E-05;0.2329
5.00E-03;7.80E+01;3.21E+00;8.12E+01;1.07E-04;2.74E-05;0.2556
6.00E-03;8.55E+01;3.01E+00;8.85E+01;1.19E-04;3.28E-05;0.2758
7.00E-03;9.23E+01;2.84E+00;9.52E+01;1.30E-04;3.82E-05;0.294
8.00E-03;9.87E+01;2.69E+00;1.01E+02;1.40E-04;4.35E-05;0.3106
9.00E-03;1.05E+02;2.56E+00;1.07E+02;1.50E-04;4.87E-05;0.3258
1.00E-02;1.10E+02;2.45E+00;1.13E+02;1.59E-04;5.39E-05;0.3398
1.25E-02;1.21E+02;2.20E+00;1.24E+02;1.80E-04;6.67E-05;0.3709
1.50E-02;1.31E+02;2.01E+00;1.33E+02;1.99E-04;7.93E-05;0.3977
1.75E-02;1.39E+02;1.86E+00;1.41E+02;2.18E-04;9.16E-05;0.4211
2.00E-02;1.47E+02;1.73E+00;1.48E+02;2.35E-04;1.04E-04;0.4419
2.25E-02;1.53E+02;1.62E+00;1.55E+02;2.51E-04;1.16E-04;0.4605
2.50E-02;1.59E+02;1.53E+00;1.61E+02;2.67E-04;1.28E-04;0.4774
2.75E-02;1.64E+02;1.44E+00;1.66E+02;2.82E-04;1.39E-04;0.4928
3.00E-02;1.69E+02;1.37E+00;1.70E+02;2.97E-04;1.51E-04;0.5069
3.50E-02;1.77E+02;1.25E+00;1.78E+02;3.26E-04;1.74E-04;0.5321
4.00E-02;1.83E+02;1.15E+00;1.84E+02;3.54E-04;1.96E-04;0.5541
4.50E-02;1.88E+02;1.06E+00;1.89E+02;3.80E-04;2.18E-04;0.5734
5.00E-02;1.93E+02;9.92E-01;1.94E+02;4.06E-04;2.40E-04;0.5908
5.50E-02;1.96E+02;9.31E-01;1.97E+02;4.32E-04;2.62E-04;0.6064
6.00E-02;1.99E+02;8.78E-01;2.00E+02;4.57E-04;2.84E-04;0.6206
6.50E-02;2.01E+02;8.31E-01;2.02E+02;4.82E-04;3.06E-04;0.6336
7.00E-02;2.03E+02;7.90E-01;2.04E+02;5.07E-04;3.27E-04;0.6456
7.50E-02;2.04E+02;7.53E-01;2.05E+02;5.31E-04;3.49E-04;0.6567
8.00E-02;2.06E+02;7.20E-01;2.06E+02;5.56E-04;3.71E-04;0.6669
8.50E-02;2.07E+02;6.90E-01;2.07E+02;5.80E-04;3.92E-04;0.6765
9.00E-02;2.08E+02;6.62E-01;2.08E+02;6.04E-04;4.14E-04;0.6855
9.50E-02;2.08E+02;6.37E-01;2.09E+02;6.28E-04;4.36E-04;0.6939
1.00E-01;2.09E+02;6.14E-01;2.09E+02;6.52E-04;4.57E-04;0.7018
1.25E-01;2.10E+02;5.22E-01;2.10E+02;7.71E-04;5.67E-04;0.7353
1.50E-01;2.09E+02;4.56E-01;2.10E+02;8.90E-04;6.77E-04;0.7613
1.75E-01;2.08E+02;4.06E-01;2.08E+02;1.01E-03;7.90E-04;0.7824
