Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.00E-03;1.54E+01;8.29E-01;1.62E+01;1.08E-04;1.01E-05;0.0932
1.50E-03;1.89E+01;8.49E-01;1.97E+01;1.36E-04;1.43E-05;0.1054
2.00E-03;2.18E+01;8.55E-01;2.26E+01;1.59E-04;1.84E-05;0.1158
2.50E-03;2.44E+01;8.55E-01;2.52E+01;1.80E-04;2.25E-05;0.1251
3.00E-03;2.67E+01;8.51E-01;2.75E+01;1.99E-04;2.66E-05;0.1335
4.00E-03;3.08E+01;8.37E-01;3.16E+01;2.33E-04;3.46E-05;0.1486
5.00E-03;3.44E+01;8.21E-01;3.53E+01;2.63E-04;4.26E-05;0.162
6.00E-03;3.77E+01;8.03E-01;3.85E+01;2.90E-04;5.05E-05;0.1741
7.00E-03;4.08E+01;7.86E-01;4.15E+01;3.15E-04;5.83E-05;0.1852
8.00E-03;4.36E+01;7.68E-01;4.43E+01;3.38E-04;6.61E-05;0.1955
9.00E-03;4.62E+01;7.51E-01;4.70E+01;3.60E-04;7.39E-05;0.2052
1.00E-02;4.87E+01;7.35E-01;4.94E+01;3.81E-04;8.16E-05;0.2143
1.25E-02;5.38E+01;6.98E-01;5.45E+01;4.29E-04;1.01E-04;0.2352
1.50E-02;5.83E+01;6.64E-01;5.90E+01;4.73E-04;1.20E-04;0.2539
1.75E-02;6.25E+01;6.34E-01;6.31E+01;5.14E-04;1.39E-04;0.2708
2.00E-02;6.62E+01;6.08E-01;6.68E+01;5.52E-04;1.58E-04;0.2863
2.25E-02;6.97E+01;5.83E-01;7.03E+01;5.89E-04;1.77E-04;0.3005
2.50E-02;7.29E+01;5.61E-01;7.35E+01;6.24E-04;1.96E-04;0.3137
2.75E-02;7.60E+01;5.41E-01;7.65E+01;6.57E-04;2.14E-04;0.326
3.00E-02;7.89E+01;5.23E-01;7.94E+01;6.89E-04;2.33E-04;0.3376
3.50E-02;8.41E+01;4.91E-01;8.46E+01;7.50E-04;2.69E-04;0.3587
4.00E-02;8.88E+01;4.63E-01;8.93E+01;8.07E-04;3.05E-04;0.3776
4.50E-02;9.31E+01;4.38E-01;9.36E+01;8.62E-04;3.40E-04;0.3947
5.00E-02;9.70E+01;4.17E-01;9.74E+01;9.14E-04;3.75E-04;0.4104
5.50E-02;1.01E+02;3.98E-01;1.01E+02;9.65E-04;4.10E-04;0.4248
6.00E-02;1.04E+02;3.81E-01;1.04E+02;1.01E-03;4.44E-04;0.4381
6.50E-02;1.07E+02;3.65E-01;1.07E+02;1.06E-03;4.78E-04;0.4505
7.00E-02;1.10E+02;3.51E-01;1.10E+02;1.11E-03;5.12E-04;0.4621
7.50E-02;1.12E+02;3.39E-01;1.12E+02;1.15E-03;5.45E-04;0.473
8.00E-02;1.14E+02;3.27E-01;1.15E+02;1.20E-03;5.78E-04;0.4833
8.50E-02;1.16E+02;3.16E-01;1.17E+02;1.24E-03;6.11E-04;0.493
9.00E-02;1.18E+02;3.06E-01;1.18E+02;1.28E-03;6.44E-04;0.5022
9.50E-02;1.20E+02;2.97E-01;1.20E+02;1.32E-03;6.77E-04;0.511
1.00E-01;1.21E+02;2.88E-01;1.21E+02;1.37E-03;7.09E-04;0.5193
1.25E-01;1.26E+02;2.52E-01;1.26E+02;1.57E-03;8.71E-04;0.5561
1.50E-01;1.28E+02;2.25E-01;1.28E+02;1.76E-03;1.03E-03;0.5865
1.75E-01;1.28E+02;2.04E-01;1.28E+02;1.96E-03;1.20E-03;0.6126
2.00E-01;1.26E+02;1.87E-01;1.27E+02;2.15E-03;1.37E-03;0.6353
2.25E-01;1.24E+02;1.73E-01;1.24E+02;2.35E-03;1.54E-03;0.6555
2.50E-01;1.20E+02;1.61E-01;1.21E+02;2.56E-03;1.72E-03;0.6736
2.75E-01;1.17E+02;1.51E-01;1.17E+02;2.77E-03;1.91E-03;0.69
3.00E-01;1.13E+02;1.42E-01;1.14E+02;2.99E-03;2.10E-03;0.7048
3.50E-01;1.06E+02;1.27E-01;1.07E+02;3.44E-03;2.51E-03;0.7309
4.00E-01;1.00E+02;1.16E-01;1.00E+02;3.93E-03;2.96E-03;0.7529
4.50E-01;9.44E+01;1.06E-01;9.45E+01;4.44E-03;3.43E-03;0.7716
5.00E-01;8.95E+01;9.84E-02;8.96E+01;4.98E-03;3.93E-03;0.7876
5.50E-01;8.52E+01;9.17E-02;8.53E+01;5.56E-03;4.45E-03;0.8015
6.00E-01;8.14E+01;8.59E-02;8.15E+01;6.16E-03;5.01E-03;0.8135
6.50E-01;7.80E+01;8.09E-02;7.81E+01;6.78E-03;5.59E-03;0.8241
7.00E-01;7.51E+01;7.64E-02;7.51E+01;7.44E-03;6.20E-03;0.8333
7.50E-01;7.24E+01;7.25E-02;7.25E+01;8.11E-03;6.83E-03;0.8415
8.00E-01;7.01E+01;6.90E-02;7.02E+01;8.81E-03;7.48E-03;0.8488
8.50E-01;6.80E+01;6.59E-02;6.81E+01;9.54E-03;8.16E-03;0.8552
9.00E-01;6.61E+01;6.30E-02;6.62E+01;1.03E-02;8.85E-03;0.8611
9.50E-01;6.44E+01;6.04E-02;6.45E+01;1.11E-02;9.57E-03;0.8663
1.00E+00;6.29E+01;5.81E-02;6.30E+01;1.18E-02;1.03E-02;0.871
1.25E+00;5.69E+01;4.87E-02;5.69E+01;1.60E-02;1.42E-02;0.8893
1.50E+00;5.22E+01;4.22E-02;5.23E+01;2.06E-02;1.86E-02;0.9016
1.75E+00;4.85E+01;3.73E-02;4.85E+01;2.56E-02;2.33E-02;0.9105
2.00E+00;4.53E+01;3.34E-02;4.54E+01;3.09E-02;2.84E-02;0.9174
2.25E+00;4.27E+01;3.04E-02;4.27E+01;3.66E-02;3.38E-02;0.9228
2.50E+00;4.04E+01;2.79E-02;4.04E+01;4.26E-02;3.95E-02;0.9272
2.75E+00;3.84E+01;2.58E-02;3.84E+01;4.90E-02;4.56E-02;0.9308
3.00E+00;3.66E+01;2.40E-02;3.67E+01;5.56E-02;5.20E-02;0.9339
3.50E+00;3.36E+01;2.11E-02;3.37E+01;6.99E-02;6.56E-02;0.9389
4.00E+00;3.12E+01;1.89E-02;3.12E+01;8.53E-02;8.04E-02;0.9427
4.50E+00;2.91E+01;1.71E-02;2.91E+01;1.02E-01;9.64E-02;0.9458
5.00E+00;2.74E+01;1.57E-02;2.74E+01;1.20E-01;1.13E-01;0.9483
5.50E+00;2.59E+01;1.45E-02;2.59E+01;1.38E-01;1.32E-01;0.9504
6.00E+00;2.45E+01;1.34E-02;2.45E+01;1.58E-01;1.51E-01;0.9522
6.50E+00;2.34E+01;1.26E-02;2.34E+01;1.79E-01;1.71E-01;0.9538
7.00E+00;2.23E+01;1.18E-02;2.23E+01;2.01E-01;1.92E-01;0.9552
