Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.00E-03;1.05E+02;1.19E+01;1.17E+02;1.34E-05;3.56E-06;0.2655
1.50E-03;1.29E+02;1.07E+01;1.39E+02;1.73E-05;5.24E-06;0.3034
2.00E-03;1.49E+02;9.79E+00;1.58E+02;2.06E-05;6.91E-06;0.3346
2.50E-03;1.66E+02;9.04E+00;1.75E+02;2.36E-05;8.53E-06;0.3609
3.00E-03;1.82E+02;8.42E+00;1.90E+02;2.64E-05;1.01E-05;0.3837
4.00E-03;2.10E+02;7.44E+00;2.17E+02;3.13E-05;1.32E-05;0.4217
5.00E-03;2.35E+02;6.70E+00;2.41E+02;3.56E-05;1.61E-05;0.4526
6.00E-03;2.57E+02;6.11E+00;2.63E+02;3.96E-05;1.90E-05;0.4785
7.00E-03;2.78E+02;5.64E+00;2.83E+02;4.33E-05;2.17E-05;0.5007
8.00E-03;2.97E+02;5.24E+00;3.02E+02;4.67E-05;2.43E-05;0.52
9.00E-03;3.15E+02;4.91E+00;3.20E+02;4.99E-05;2.68E-05;0.5371
1.00E-02;3.32E+02;4.62E+00;3.37E+02;5.29E-05;2.92E-05;0.5523
1.25E-02;3.65E+02;4.04E+00;3.69E+02;6.00E-05;3.51E-05;0.5845
1.50E-02;3.93E+02;3.61E+00;3.96E+02;6.66E-05;4.07E-05;0.6108
1.75E-02;4.17E+02;3.27E+00;4.20E+02;7.27E-05;4.60E-05;0.6327
2.00E-02;4.38E+02;2.99E+00;4.41E+02;7.85E-05;5.11E-05;0.6514
2.25E-02;4.56E+02;2.77E+00;4.59E+02;8.40E-05;5.61E-05;0.6677
2.50E-02;4.73E+02;2.58E+00;4.75E+02;8.94E-05;6.10E-05;0.682
2.75E-02;4.87E+02;2.41E+00;4.89E+02;9.46E-05;6.57E-05;0.6948
3.00E-02;4.99E+02;2.27E+00;5.01E+02;9.96E-05;7.04E-05;0.7063
3.50E-02;5.18E+02;2.04E+00;5.20E+02;1.09E-04;7.95E-05;0.7263
4.00E-02;5.32E+02;1.85E+00;5.34E+02;1.19E-04;8.84E-05;0.7433
4.50E-02;5.42E+02;1.70E+00;5.43E+02;1.28E-04;9.71E-05;0.7579
5.00E-02;5.47E+02;1.57E+00;5.49E+02;1.37E-04;1.06E-04;0.7708
5.50E-02;5.49E+02;1.46E+00;5.51E+02;1.46E-04;1.15E-04;0.7823
