Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.00E-03;1.20E+02;2.16E+01;1.41E+02;9.86E-06;3.26E-06;0.3304
1.50E-03;1.47E+02;1.84E+01;1.65E+02;1.31E-05;4.93E-06;0.376
2.00E-03;1.69E+02;1.61E+01;1.86E+02;1.60E-05;6.58E-06;0.4123
2.50E-03;1.89E+02;1.45E+01;2.04E+02;1.85E-05;8.19E-06;0.4421
3.00E-03;2.07E+02;1.31E+01;2.21E+02;2.09E-05;9.76E-06;0.4674
4.00E-03;2.40E+02;1.12E+01;2.51E+02;2.51E-05;1.28E-05;0.5084
5.00E-03;2.68E+02;9.83E+00;2.78E+02;2.89E-05;1.56E-05;0.5406
6.00E-03;2.93E+02;8.79E+00;3.02E+02;3.24E-05;1.83E-05;0.5669
7.00E-03;3.17E+02;7.97E+00;3.25E+02;3.56E-05;2.09E-05;0.5889
8.00E-03;3.39E+02;7.31E+00;3.46E+02;3.85E-05;2.34E-05;0.6078
9.00E-03;3.59E+02;6.76E+00;3.66E+02;4.13E-05;2.58E-05;0.6242
1.00E-02;3.79E+02;6.30E+00;3.85E+02;4.40E-05;2.81E-05;0.6387
1.25E-02;4.17E+02;5.40E+00;4.22E+02;5.02E-05;3.36E-05;0.6686
1.50E-02;4.50E+02;4.75E+00;4.55E+02;5.59E-05;3.87E-05;0.6923
1.75E-02;4.80E+02;4.25E+00;4.84E+02;6.12E-05;4.36E-05;0.7118
2.00E-02;5.07E+02;3.86E+00;5.11E+02;6.62E-05;4.82E-05;0.7281
2.25E-02;5.31E+02;3.54E+00;5.34E+02;7.10E-05;5.27E-05;0.742
2.50E-02;5.53E+02;3.27E+00;5.56E+02;7.56E-05;5.70E-05;0.7542
2.75E-02;5.72E+02;3.04E+00;5.76E+02;8.00E-05;6.12E-05;0.7648
3.00E-02;5.91E+02;2.85E+00;5.93E+02;8.43E-05;6.53E-05;0.7743
3.50E-02;6.22E+02;2.53E+00;6.25E+02;9.25E-05;7.31E-05;0.7906
4.00E-02;6.48E+02;2.28E+00;6.51E+02;1.00E-04;8.07E-05;0.8041
